X,Y,Incident_ID,Agency,Offense,Street,City,State,Zipcode,Date_of_Report,Date_of_Occurrence,Date_Found,Reported_As,Premise_Description,Forcible,Weapon_Description,Victim_Age,Victim_Race,Victim_Gender,Latitude,Longitude,ObjectId
-8800441.493,4288789.812,82254,CHPD,OPEN CONTAINER OF MALT BEVERAGE,100 E ROSEMARY ST,CHAPEL HILL,NC,27516,2011/02/18 18:02:00+00,2011/02/18 18:01:00+00,2011/02/18 18:02:00+00,<Null>,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK,<Null>,<Null>,<Null>,<Null>,<Null>,35.913967,-79.055711,7779
-8800253.919,4288767.408,82763,CHPD,OPEN CONTAINER,150 E FRANKLIN ST,CHAPEL HILL,NC,27514,2011/03/15 16:38:00+00,2011/03/15 16:37:00+00,2011/03/15 16:38:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913804,-79.054026,8232
-8800131.468,4288833.933,82840,CHPD,OPEN CONTAINER OF BEER,179 E FRANKLIN ST,CHAPEL HILL,NC,27514,2011/03/19 23:40:00+00,2011/03/19 23:39:00+00,2011/03/19 23:40:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.914288,-79.052926,8474
-8800769.329,4288597.248,84226,CHPD,OPEN CONTAINER OF MALT BEVERAGE,200  W FRANKLIN ST,CHAPEL HILL,NC,27514,2011/05/31 12:46:00+00,2011/05/31 12:46:00+00,2011/05/31 12:46:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.912566,-79.058656,9167
-8800929.963,4288452.381,84275,CHPD,OPEN CONTAINER OF MALT BEVERAGE,310 W FRANKLIN ST,CHAPEL HILL,NC,27516,2011/06/02 23:19:00+00,2011/06/02 23:18:00+00,2011/06/02 23:19:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.911512,-79.060099,9190
-8800191.358,4288691.812,83707,CHPD,OPEN CONTAINER,150 E FRANKLIN ST,CHAPEL HILL,NC,27514,2011/05/03 20:55:00+00,2011/05/03 20:55:00+00,2011/05/03 20:55:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913254,-79.053464,9490
-8801025.698,4288406.337,83294,CHPD,OPEN CONTAINER,410 W FRANKLIN ST,CHAPEL HILL,NC,27516,2011/04/11 09:45:00+00,2011/04/11 09:45:00+00,2011/04/11 09:45:00+00,<Null>,BEHIND BUILDING/ALLEY,<Null>,<Null>,<Null>,<Null>,<Null>,35.911177,-79.060959,9499
-8796049.939,4287597.648,84255,CHPD,OPEN CONTAINER,WEST BARBEE CHAPEL RD @ RALEIGH RD,CHAPEL HILL,NC,27514,2011/05/28 20:11:00+00,2011/05/28 20:10:00+00,2011/05/28 20:11:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.905293,-79.016261,9529
-8800413.886,4288699.234,84176,CHPD,OPEN CONTAINER,109 E FRANKLIN ST,CHAPEL HILL,NC,27514,2011/05/28 21:24:00+00,2011/05/28 21:23:00+00,2011/05/28 21:24:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913308,-79.055463,9543
-8796792.663,4291411.549,83384,CHPD,TRANSPORT OPEN CONTAINER,1250 EPHESUS CHURCH RD,CHAPEL HILL,NC,27517,2011/04/17 00:14:00+00,2011/04/16 04:20:00+00,2011/04/16 04:20:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,<Null>,<Null>,<Null>,<Null>,<Null>,35.933039,-79.022933,9586
-8798454.663,4290281.232,83870,CHPD,OPEN CONTAINER,E FRANKLIN ST,CHAPEL HILL,NC,27514,2011/05/12 21:25:00+00,2011/05/12 19:48:00+00,2011/05/12 19:48:00+00,<Null>,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK,<Null>,<Null>,<Null>,<Null>,<Null>,35.924817,-79.037863,9632
-8800226.758,4288788.713,83373,CHPD,OPEN CONTAINER,157 E FRANKLIN ST,CHAPEL HILL,NC,27514,2011/04/16 00:00:00+00,2011/04/15 23:59:00+00,2011/04/16 00:00:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913959,-79.053782,9824
-8800768.327,4296250.199,84103,CHPD,OPEN CONTAINER OF ALCOHOL,1800 MARTIN LUTHER KING JR BLVD,CHAPEL HILL,NC,27514,2011/05/23 21:04:00+00,2011/05/23 21:03:00+00,2011/05/23 21:04:00+00,<Null>,GROCERY/SUPERMARKET,<Null>,<Null>,61,W,M,35.968226,-79.058647,9919
-8800377.261,4288717.239,85225,CHPD,OPEN CONTAINER,119 E FRANKLIN ST,CHAPEL HILL,NC,27514,2011/07/21 22:13:00+00,2011/07/21 22:12:00+00,2011/07/21 22:13:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,<Null>,<Null>,<Null>,<Null>,<Null>,35.913439,-79.055134,10162
-8800191.358,4288691.812,84629,CHPD,OPEN CONTAINER,150 E FRANKLIN ST,CHAPEL HILL,NC,27514,2011/06/22 18:50:00+00,2011/06/22 18:50:00+00,2011/06/22 18:50:00+00,<Null>,CHURCH/SYNAGOGUE/TEMPLE,N,<Null>,<Null>,<Null>,<Null>,35.913254,-79.053464,10319
-8800287.427,4288759.848,85224,CHPD,OPEN CONTAINER,143 E FRANKLIN ST,CHAPEL HILL,NC,27514,2011/07/21 19:50:00+00,2011/07/21 19:49:00+00,2011/07/21 19:50:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,<Null>,<Null>,<Null>,<Null>,<Null>,35.913749,-79.054327,10967
-8800131.468,4288833.933,85963,CHPD,OPEN CONTAINER,179 E FRANKLIN ST,CHAPEL HILL,NC,27514,2011/08/24 23:35:00+00,2011/08/24 23:34:00+00,2011/08/24 23:35:00+00,<Null>,GOVERNMENT/PUBLIC BUILDING,N,<Null>,<Null>,<Null>,<Null>,35.914288,-79.052926,11014
